SubstationID,Load
10001,1419.4
10002,4172.5
10003,2755.5
10004,3514.2
10005,6779.1
10006,3097.2
10007,5166.7
10001,1510.5
10002,4445.2
10003,2934.8
10004,3761.9
10005,7192.1
10006,3306.9
10007,5530.3
10001,1609.6
10002,4731.1
10003,3123.6
10004,3956
10005,7662.3
10006,3491.8
10007,5841.2
10001,1680
10002,4940.5
10003,3258.8
10004,4142.6
10005,8015.3
10006,3627.9
10007,6166.6
10001,1721.3
10002,5060.4
10003,3341.5
10004,4234.1
10005,8201.6
10006,3726.4
10007,6251
10001,1732.4
10002,5090.4
10003,3360.5
10004,4238
10005,8257.1
10006,3765.9
10007,6292.1
10001,1722
10002,5066
10003,3343.6
10004,4285.7
10005,8218.7
10006,3740.2
10007,6306.5
10001,1665
10002,4900.2
10003,3235.2
10004,4132.1
10005,7955.6
10006,3620.6
10007,6076.7
10001,1640.7
10002,4821.9
10003,3182.9
10004,4046.1
10005,7814.3
10006,3576.6
10007,5983.5
10001,1649.7
10002,4850.7
10003,3202.6
10004,4075.4
10005,7866.2
10006,3586.3
10007,6032
10001,1664.7
10002,4893.2
10003,3229.7
10004,4121
10005,7921.6
10006,3613.9
10007,6103.2
10001,1667.5
10002,4902.4
10003,3236.1
10004,4095.6
10005,7932.2
10006,3608.3
10007,6001.8
10001,1674.8
10002,4926.5
10003,3251.9
10004,4122.9
10005,7980.3
10006,3657.4
10007,6143.4
10001,1674.9
10002,4930
10003,3252.8
10004,4119.3
10005,7992.7
10006,3633.6
10007,6155.7
10001,1665.8
10002,4898.4
10003,3230.9
10004,4137.9
10005,7933.8
10006,3613.3
10007,6116.8
10001,1652.3
10002,4858.5
10003,3206.8
10004,4108.1
10005,7864.6
10006,3596.7
10007,6038.9
10001,1636
10002,4812.8
10003,3176.7
10004,4057.1
10005,7795.1
10006,3568.9
10007,5965.2
10001,1563.6
10002,4596.7
10003,3035.4
10004,3824.4
10005,7456
10006,3427.7
10007,5721.9
10001,1434
10002,4218.6
10003,2784.8
10004,3528.4
10005,6824.6
10006,3118
10007,5286.8
10001,1369
10002,4021.8
10003,2654.6
10004,3372.9
10005,6516.8
10006,2949.6
10007,4992.2
10001,1345.9
10002,3964
10003,2617.3
10004,3303.6
10005,6417.1
10006,2943.2
10007,4955.4
10001,1355.4
10002,3983.1
10003,2626.7
10004,3350.3
10005,6438.1
10006,2951.6
10007,4985
10001,1371.1
10002,4035.4
10003,2662.7
10004,3421.5
10005,6543.9
10006,3004.8
10007,4964
10001,1404.6
10002,4129.6
10003,2724.3
10004,3490.5
10005,6680.7
10006,3055.8
10007,5161.3
10001,1466
10002,4307.2
10003,2843
10004,3625.5
10005,6971.3
10006,3193
10007,5365.5
10001,1557.4
10002,4577.4
10003,3021.9
10004,3846.6
10005,7411.6
10006,3363
10007,5687.3
10001,1655.9
10002,4871.7
10003,3217.2
10004,4070
10005,7918.5
10006,3603.8
10007,6027.7
10001,1729
10002,5084.2
10003,3354.6
10004,4307.2
10005,8234
10006,3753.4
10007,6284.4
10001,1766
10002,5192.2
10003,3429
10004,4372.9
10005,8407
10006,3835.6
10007,6444.3
10001,1773.9
10002,5215.5
10003,3443.7
10004,4368.1
10005,8443.7
10006,3852.8
10007,6439.4
10001,1758.1
10002,5170.4
10003,3409.9
10004,4360.1
10005,8385.5
10006,3811.7
10007,6391.7
10001,1700.2
10002,4993.9
10003,3296
10004,4173.1
10005,8103.4
10006,3699.8
10007,6182.2
10001,1664.4
10002,4891.1
10003,3231
10004,4095.3
10005,7903.8
10006,3591.7
10007,6087.2
10001,1669.9
10002,4912
10003,3240.6
10004,4137.9
10005,7943.3
10006,3629.2
10007,6060.1
10001,1679.2
10002,4941.7
10003,3263.1
10004,4148
10005,7987.2
10006,3664.1
10007,6168.5
10001,1682.5
10002,4948.8
10003,3265.4
10004,4131.2
10005,8020.9
10006,3644.4
10007,6146.6
10001,1692.7
10002,4974.8
10003,3283.6
10004,4167.7
10005,8055.3
10006,3694.6
10007,6140.7
10001,1692.3
10002,4972.3
10003,3280.8
10004,4160.8
10005,8066.1
10006,3685
10007,6160.8
10001,1679.4
10002,4931.9
10003,3254.7
10004,4132.2
10005,7998.6
10006,3642.3
10007,6094.1
10001,1655.2
10002,4869
10003,3213.6
10004,4143.5
10005,7881
10006,3605.2
10007,6000.9
10001,1626.2
10002,4782
10003,3155.7
10004,4011.7
10005,7740.3
10006,3526.3
10007,5987.5
10001,1544.9
10002,4546
10003,3001
10004,3816.7
10005,7379.4
10006,3347.4
10007,5638.7
10001,1418.6
10002,4176
10003,2755.1
10004,3515.5
10005,6770
10006,3082.9
10007,5165.9
10001,1347.8
10002,3965.7
10003,2617
10004,3286.8
10005,6429.2
10006,2943.2
10007,4918.4
10001,1325.4
10002,3898.3
10003,2572.9
10004,3298.2
10005,6329.7
10006,2918.4
10007,4818
10001,1326
10002,3901.6
10003,2576.3
10004,3259.4
10005,6319.9
10006,2868.8
10007,4818.6
10001,1341.6
10002,3945.3
10003,2603.1
10004,3293.3
10005,6393
10006,2934.6
10007,4865.2
10001,1368.7
10002,4024.4
10003,2656.2
10004,3404.7
10005,6528.8
10006,2952
10007,5026.1
10001,1417.2
10002,4173.5
10003,2753
10004,3509.1
10005,6754.8
10006,3095.2
10007,5192.2
10001,1491.2
10002,4383.3
10003,2894.3
10004,3672.4
10005,7125
10006,3241.6
10007,5416.9
10001,1566.6
10002,4608.9
10003,3041.9
10004,3893.1
10005,7462.3
10006,3408.6
10007,5721.4
10001,1629.2
10002,4788.3
10003,3159.5
10004,3994.7
10005,7768.4
10006,3525.9
10007,5937.6
10001,1664.5
10002,4895.8
10003,3229.2
10004,4094.9
10005,7918
10006,3622.1
10007,6051.5
10001,1672.7
10002,4915.6
