TimeStamp,SubstationID,Load
2016-05-17 15:00:00,10001,1419.4
2016-05-17 15:00:00,10002,4172.5
2016-05-17 15:00:00,10003,2755.5
2016-05-17 15:00:00,10004,3514.2
2016-05-17 15:00:00,10005,6779.1
2016-05-17 15:00:00,10006,3097.2
2016-05-17 15:00:00,10007,5166.7
2016-05-17 14:00:00,10001,1510.5
2016-05-17 14:00:00,10002,4445.2
2016-05-17 14:00:00,10003,2934.8
2016-05-17 14:00:00,10004,3761.9
2016-05-17 14:00:00,10005,7192.1
2016-05-17 14:00:00,10006,3306.9
2016-05-17 14:00:00,10007,5530.3
2016-05-17 13:00:00,10001,1609.6
2016-05-17 13:00:00,10002,4731.1
2016-05-17 13:00:00,10003,3123.6
2016-05-17 13:00:00,10004,3956
2016-05-17 13:00:00,10005,7662.3
2016-05-17 13:00:00,10006,3491.8
2016-05-17 13:00:00,10007,5841.2
2016-05-17 12:00:00,10001,1680
2016-05-17 12:00:00,10002,4940.5
2016-05-17 12:00:00,10003,3258.8
2016-05-17 12:00:00,10004,4142.6
2016-05-17 12:00:00,10005,8015.3
2016-05-17 12:00:00,10006,3627.9
2016-05-17 12:00:00,10007,6166.6
2016-05-17 11:00:00,10001,1721.3
2016-05-17 11:00:00,10002,5060.4
2016-05-17 11:00:00,10003,3341.5
2016-05-17 11:00:00,10004,4234.1
2016-05-17 11:00:00,10005,8201.6
2016-05-17 11:00:00,10006,3726.4
2016-05-17 11:00:00,10007,6251
2016-05-17 10:00:00,10001,1732.4
2016-05-17 10:00:00,10002,5090.4
2016-05-17 10:00:00,10003,3360.5
2016-05-17 10:00:00,10004,4238
2016-05-17 10:00:00,10005,8257.1
2016-05-17 10:00:00,10006,3765.9
2016-05-17 10:00:00,10007,6292.1
2016-05-17 09:00:00,10001,1722
2016-05-17 09:00:00,10002,5066
2016-05-17 09:00:00,10003,3343.6
2016-05-17 09:00:00,10004,4285.7
2016-05-17 09:00:00,10005,8218.7
2016-05-17 09:00:00,10006,3740.2
2016-05-17 09:00:00,10007,6306.5
2016-05-17 08:00:00,10001,1665
2016-05-17 08:00:00,10002,4900.2
2016-05-17 08:00:00,10003,3235.2
2016-05-17 08:00:00,10004,4132.1
2016-05-17 08:00:00,10005,7955.6
2016-05-17 08:00:00,10006,3620.6
2016-05-17 08:00:00,10007,6076.7
2016-05-17 07:00:00,10001,1640.7
2016-05-17 07:00:00,10002,4821.9
2016-05-17 07:00:00,10003,3182.9
2016-05-17 07:00:00,10004,4046.1
2016-05-17 07:00:00,10005,7814.3
2016-05-17 07:00:00,10006,3576.6
2016-05-17 07:00:00,10007,5983.5
2016-05-17 06:00:00,10001,1649.7
2016-05-17 06:00:00,10002,4850.7
2016-05-17 06:00:00,10003,3202.6
2016-05-17 06:00:00,10004,4075.4
2016-05-17 06:00:00,10005,7866.2
2016-05-17 06:00:00,10006,3586.3
2016-05-17 06:00:00,10007,6032
2016-05-17 05:00:00,10001,1664.7
2016-05-17 05:00:00,10002,4893.2
2016-05-17 05:00:00,10003,3229.7
2016-05-17 05:00:00,10004,4121
2016-05-17 05:00:00,10005,7921.6
2016-05-17 05:00:00,10006,3613.9
2016-05-17 05:00:00,10007,6103.2
2016-05-17 04:00:00,10001,1667.5
2016-05-17 04:00:00,10002,4902.4
2016-05-17 04:00:00,10003,3236.1
2016-05-17 04:00:00,10004,4095.6
2016-05-17 04:00:00,10005,7932.2
2016-05-17 04:00:00,10006,3608.3
2016-05-17 04:00:00,10007,6001.8
2016-05-17 03:00:00,10001,1674.8
2016-05-17 03:00:00,10002,4926.5
2016-05-17 03:00:00,10003,3251.9
2016-05-17 03:00:00,10004,4122.9
2016-05-17 03:00:00,10005,7980.3
2016-05-17 03:00:00,10006,3657.4
2016-05-17 03:00:00,10007,6143.4
2016-05-17 02:00:00,10001,1674.9
2016-05-17 02:00:00,10002,4930
2016-05-17 02:00:00,10003,3252.8
2016-05-17 02:00:00,10004,4119.3
2016-05-17 02:00:00,10005,7992.7
2016-05-17 02:00:00,10006,3633.6
2016-05-17 02:00:00,10007,6155.7
2016-05-17 01:00:00,10001,1665.8
2016-05-17 01:00:00,10002,4898.4
2016-05-17 01:00:00,10003,3230.9
2016-05-17 01:00:00,10004,4137.9
2016-05-17 01:00:00,10005,7933.8
2016-05-17 01:00:00,10006,3613.3
2016-05-17 01:00:00,10007,6116.8
2016-05-17 00:00:00,10001,1652.3
2016-05-17 00:00:00,10002,4858.5
2016-05-17 00:00:00,10003,3206.8
2016-05-17 00:00:00,10004,4108.1
2016-05-17 00:00:00,10005,7864.6
2016-05-17 00:00:00,10006,3596.7
2016-05-17 00:00:00,10007,6038.9
2016-05-16 23:00:00,10001,1636
2016-05-16 23:00:00,10002,4812.8
2016-05-16 23:00:00,10003,3176.7
2016-05-16 23:00:00,10004,4057.1
2016-05-16 23:00:00,10005,7795.1
2016-05-16 23:00:00,10006,3568.9
2016-05-16 23:00:00,10007,5965.2
2016-05-16 22:00:00,10001,1563.6
2016-05-16 22:00:00,10002,4596.7
2016-05-16 22:00:00,10003,3035.4
2016-05-16 22:00:00,10004,3824.4
2016-05-16 22:00:00,10005,7456
2016-05-16 22:00:00,10006,3427.7
2016-05-16 22:00:00,10007,5721.9
2016-05-16 21:00:00,10001,1434
2016-05-16 21:00:00,10002,4218.6
2016-05-16 21:00:00,10003,2784.8
2016-05-16 21:00:00,10004,3528.4
2016-05-16 21:00:00,10005,6824.6
2016-05-16 21:00:00,10006,3118
2016-05-16 21:00:00,10007,5286.8
2016-05-16 20:00:00,10001,1369
2016-05-16 20:00:00,10002,4021.8
2016-05-16 20:00:00,10003,2654.6
2016-05-16 20:00:00,10004,3372.9
2016-05-16 20:00:00,10005,6516.8
2016-05-16 20:00:00,10006,2949.6
2016-05-16 20:00:00,10007,4992.2
2016-05-16 19:00:00,10001,1345.9
2016-05-16 19:00:00,10002,3964
2016-05-16 19:00:00,10003,2617.3
2016-05-16 19:00:00,10004,3303.6
2016-05-16 19:00:00,10005,6417.1
2016-05-16 19:00:00,10006,2943.2
